ip,timestamp,url,protocol,status,bytes,referrer,user_agent,hour,day_of_week,minute,url_path_depth,protocol_HTTP/1.0,protocol_HTTP/1.1,status_type,status_client_error,status_server_error,status_success,method_GET,method_HEAD,method_OPTIONS,method_POST,has_referrer,is_bot,browser_chrome,browser_firefox,browser_other,browser_safari,browser_wordpress
162.158.63.52,2024-10-20 01:03:13,/wp-admin/images/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.154.86,2024-10-20 01:03:13,/wp-admin/maint/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-20 01:03:13,/wp-content/upgrade/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-20 01:03:13,/images/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:14,/css/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:14,/wp-includes/fonts/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-20 01:03:14,/wp-includes/pomo/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-20 01:03:14,/.tmb/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.154.86,2024-10-20 01:03:14,/wp-includes/IXR/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-20 01:03:14,/.well-known/pki-validation/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
